contest,fips,geo_name,year,month,votes,candidate_count,incumbent,winner,vote_share,n_winners,prob_democrat,prob_republican,pid_est,prob_male,prob_female,gender_est,prob_black,prob_white,prob_hispanic,prob_asian,prob_other,race_est,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american
3502000_2013_10_albuquerque_NM_Mayor_mayor_1,3502000,albuquerque,2013,10.0,48009.0,3,1.0,win,0.68,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.513900008714982,0.709692976757465,0.0329265731704821,0.474624323219169,0.13332142037466
3977000_2005_11_toledo_OH_Mayor_mayor_1,3977000,toledo,2005,11.0,47351.0,2,1.0,win,0.62,1,1.0,0.0,D,0.97,0.03,M,0.01,0.99,0.0,0.0,0.0,caucasian,0.518593191606179,0.675294590903662,0.253661954502642,0.0642887626103265,0.0354183414800573
2603000_2008_11_ann arbor_MI_Mayor_mayor_1,2603000,ann arbor,2008,11.0,46811.0,2,1.0,win,0.85,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.50685919753022,0.733350518152365,0.0794811938022573,0.0394526472890284,0.149614983220206
3977000_1997_11_toledo_OH_Mayor_mayor_1,3977000,toledo,1997,11.0,46738.0,2,1.0,win,0.51,1,1.0,0.0,D,0.97,0.03,M,0.01,0.99,0.0,0.0,0.0,caucasian,0.522429977214662,0.722509698831951,0.223950106073736,0.0501590779113216,0.0325584275046087
541000_2010_11_little rock_AR_Mayor_mayor_1,541000,little rock,2010,11.0,45970.0,2,1.0,win,0.85,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.523340774270891,0.48916413468097,0.42314648312354,0.0675678468820405,0.0667100721357558
477000_2007_11_tucson_AZ_Mayor_mayor_1,477000,tucson,2007,11.0,45543.0,2,1.0,win,0.72,1,0.0,1.0,R,0.99,0.01,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.506741641803576,0.698525335621869,0.0479716741794495,0.398290688036884,0.186667264069517
664000_1996_3_sacramento_CA_Mayor_mayor_1,664000,sacramento,1996,3.0,45485.0,6,1.0,win,0.58,1,,,,1.0,0.0,M,0.0,0.0,1.0,0.0,0.0,hispanic,0.51487804782474,0.530112542734303,0.154032244587902,0.194669623964032,0.264660476819345
2148000_1993_11_louisville_KY_Mayor_mayor_1,2148000,louisville,1993,11.0,45470.0,2,1.0,win,0.81,1,0.99,0.01,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.534268198172174,0.673250042222896,0.306599998003405,0.0101356888539119,0.0131419306496765
3137000_1993_5_omaha_NE_Mayor_mayor_1,3137000,omaha,1993,5.0,45453.0,2,1.0,win,0.75,1,0.06,0.94,R,0.97,0.03,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.519470166388974,0.822215315790245,0.131635134788505,0.0440590892562034,0.0336446811954481
4865000_2017_6_san antonio_TX_Mayor_mayor_1,4865000,san antonio,2017,6.0,44922.0,2,1.0,lose,0.45,1,1.0,0.0,D,0.07,0.93,F,1.0,0.0,0.0,0.0,0.0,black,0.508003398205195,0.780107405479136,0.069308115377422,0.639249581286125,0.0684593369318161
3916000_2005_11_cleveland_OH_Mayor_mayor_1,3916000,cleveland,2005,11.0,44754.0,2,1.0,lose,0.45,1,1.0,0.0,D,0.0,1.0,F,0.0,1.0,0.0,0.0,0.0,caucasian,0.523457256801017,0.393866948613243,0.521665077351262,0.0861099041454916,0.0563057638729157
675000_2020_11_stockton_CA_Mayor_mayor_1,675000,stockton,2020,11.0,44206.0,2,1.0,lose,0.44,1,1.0,0.0,D,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,0.510277206462545,0.448170928893891,0.111506719960676,0.426633422587864,0.215420337097546
3611000_1997_11_buffalo_NY_Mayor_mayor_1,3611000,buffalo,1997,11.0,44168.0,4,1.0,win,0.59,1,0.96,0.04,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.531310645163913,0.575278240186127,0.352564077297938,0.0675513388681185,0.0472752661975103
3712000_2003_11_charlotte_NC_Mayor_mayor_1,3712000,charlotte,2003,11.0,44123.0,3,1.0,win,0.57,1,0.01,0.99,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.512040226003333,0.557652601711418,0.334146077560615,0.0907608816103049,0.0847577910639638
626000_2020_11_fremont_CA_Mayor_mayor_1,626000,fremont,2020,11.0,44038.0,6,1.0,win,0.5,1,1.0,0.0,D,0.0,1.0,F,0.0,0.0,0.0,1.0,0.0,asian,0.504343768558582,0.238156443539493,0.0306184779842199,0.128739289047255,0.593721897005175
5548000_2011_4_madison_WI_Mayor_mayor_1,5548000,madison,2011,4.0,43829.0,2,1.0,lose,0.5,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.507349692306313,0.78879748884834,0.0723308507015933,0.0685138048724311,0.101614236832497
4261000_2007_11_pittsburgh_PA_Mayor_mayor_1,4261000,pittsburgh,2007,11.0,43557.0,4,1.0,win,0.63,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.518198073249804,0.664886875926176,0.263894500583391,0.0199140065374488,0.0468694753966339
2743000_2005_11_minneapolis_MN_Mayor_mayor_1,2743000,minneapolis,2005,11.0,43198.0,2,1.0,win,0.63,1,1.0,0.0,D,,,,0.0,1.0,0.0,0.0,0.0,caucasian,0.49731439927689,0.644634492011913,0.182850040470002,0.0904978200008038,0.108009172200393
4824000_2020_12_el paso_TX_Mayor_mayor_1,4824000,el paso,2020,12.0,43182.0,2,1.0,win,0.8,1,0.95,0.05,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.510281503884156,0.800739320960323,0.0362511455356105,0.813570790790997,0.0143980771182663
4123850_2012_11_eugene_OR_Mayor_mayor_1,4123850,eugene,2012,11.0,42862.0,1,1.0,win,1.0,1,1.0,0.0,D,0.0,1.0,F,0.0,1.0,0.0,0.0,0.0,caucasian,0.511266424065718,0.852967928313156,0.0140149843150665,0.082445789589977,0.0660102125256266
